Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,86071,1901,12.5,14.2,12.5,9.7,8.9,4.8,4.3,6.7,9.2,9.2,12.1,12.4,9.7
IDCJAC0004,86071,1902,13.0,12.7,11.9,10.1,8.8,5.7,5.6,4.2,7.1,9.4,12.1,13.1,9.5
IDCJAC0004,86071,1903,13.0,13.3,12.9,10.7,7.6,6.0,5.3,5.1,8.6,10.4,12.0,13.0,9.8
IDCJAC0004,86071,1904,13.9,13.8,11.5,10.5,9.0,7.2,6.0,6.6,6.3,9.4,10.4,11.8,9.7
IDCJAC0004,86071,1905,14.0,13.1,11.3,11.3,8.6,8.1,6.1,6.1,5.6,7.5,9.8,11.7,9.4
IDCJAC0004,86071,1906,13.7,14.7,12.6,11.5,9.1,8.1,6.8,6.1,7.6,9.2,9.7,12.0,10.1
IDCJAC0004,86071,1907,13.9,12.1,11.6,10.3,8.2,4.9,5.1,7.3,8.0,9.1,11.5,11.7,9.5
IDCJAC0004,86071,1908,17.0,15.1,13.1,10.3,7.7,5.5,5.0,5.1,7.6,8.7,12.0,13.8,10.1
IDCJAC0004,86071,1909,13.9,13.6,12.8,8.8,8.6,7.2,5.1,6.2,7.8,9.1,10.1,11.2,9.5
IDCJAC0004,86071,1910,14.8,14.7,13.2,10.8,9.7,7.8,5.9,7.4,8.3,8.6,11.8,11.4,10.4
IDCJAC0004,86071,1911,14.3,15.5,13.6,9.4,9.6,6.2,4.7,8.5,8.9,8.9,11.1,12.4,10.3
IDCJAC0004,86071,1912,13.4,15.9,13.6,10.6,6.5,6.8,5.3,7.0,7.7,8.5,11.3,12.2,9.9
IDCJAC0004,86071,1913,13.8,14.6,12.4,11.3,8.1,6.5,6.8,6.9,8.1,9.6,9.6,13.5,10.1
IDCJAC0004,86071,1914,13.4,15.1,14.9,10.8,8.5,6.9,5.0,6.8,7.0,9.9,13.0,14.5,10.5
IDCJAC0004,86071,1915,14.1,14.4,12.4,10.9,8.2,8.0,7.3,7.6,8.7,8.7,10.0,12.2,10.2
IDCJAC0004,86071,1916,14.5,14.9,11.5,10.5,7.5,6.6,5.8,6.0,9.4,9.0,10.7,13.8,10.0
IDCJAC0004,86071,1917,14.2,14.7,12.8,8.8,7.6,6.7,7.0,6.8,8.4,9.8,11.5,14.4,10.2
IDCJAC0004,86071,1918,15.9,14.4,12.7,10.5,9.7,8.2,5.7,7.4,7.6,8.5,10.1,12.2,10.2
IDCJAC0004,86071,1919,12.9,15.8,12.3,10.3,8.2,6.7,5.5,6.0,8.0,9.5,12.5,14.1,10.1
IDCJAC0004,86071,1920,13.6,14.6,12.1,10.7,7.5,8.0,5.5,6.3,8.6,9.9,11.4,13.6,10.2
IDCJAC0004,86071,1921,15.5,16.3,12.5,10.4,9.0,7.9,6.3,6.4,7.9,9.2,12.4,13.3,10.6
IDCJAC0004,86071,1922,13.8,15.1,12.0,11.8,8.5,5.2,6.1,5.6,6.7,9.8,10.1,12.9,9.8
IDCJAC0004,86071,1923,13.3,13.6,12.1,9.7,9.5,8.4,6.8,6.1,7.3,9.4,10.0,13.4,10.0
IDCJAC0004,86071,1924,13.0,13.2,12.3,9.9,7.6,6.0,5.5,6.7,9.0,9.2,11.6,11.5,9.6
IDCJAC0004,86071,1925,13.3,14.6,12.4,11.2,8.9,6.1,5.7,5.1,7.2,9.5,10.7,13.0,9.8
IDCJAC0004,86071,1926,13.0,14.2,14.0,11.7,8.5,7.4,7.4,6.7,8.7,10.0,10.9,12.9,10.4
IDCJAC0004,86071,1927,14.4,13.9,12.4,10.3,8.3,4.5,6.4,6.6,6.9,10.2,12.4,14.2,10.0
IDCJAC0004,86071,1928,14.6,15.8,14.8,11.3,8.5,6.1,6.0,6.4,9.5,8.7,10.7,13.3,10.5
IDCJAC0004,86071,1929,13.5,16.5,12.6,10.7,7.9,6.5,5.0,5.8,6.9,10.2,11.0,11.9,9.9
IDCJAC0004,86071,1930,12.9,15.2,13.5,9.1,8.4,6.2,6.9,6.8,7.5,10.6,10.8,13.6,10.1
IDCJAC0004,86071,1931,12.2,11.9,12.0,8.9,9.7,6.9,6.0,6.7,6.9,8.3,10.4,12.7,9.4
IDCJAC0004,86071,1932,13.8,13.5,12.5,11.4,8.9,6.2,5.5,5.8,7.8,7.5,11.1,11.1,9.6
IDCJAC0004,86071,1933,13.4,12.5,11.7,9.9,8.2,6.7,5.2,5.2,7.3,9.4,10.6,13.5,9.5
IDCJAC0004,86071,1934,14.4,14.4,15.1,10.1,7.9,4.4,6.8,6.4,6.4,8.0,11.5,12.7,9.8
IDCJAC0004,86071,1935,13.5,14.1,11.7,11.2,7.1,6.6,5.3,7.4,6.9,9.0,9.9,12.8,9.6
IDCJAC0004,86071,1936,14.8,14.1,14.0,9.2,6.9,6.4,6.1,7.0,6.1,8.8,9.9,13.8,9.8
